scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,bytes,cnt,duUeIndex
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:39.000000Z,1775061399.0,61.0,2265533,77,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:40.000000Z,1775061400.0,62.0,1930911,63,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:41.000000Z,1775061401.0,63.0,2082621,69,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:42.000000Z,1775061402.0,64.0,2514429,74,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:43.000000Z,1775061403.0,65.0,1976125,68,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:44.000000Z,1775061404.0,66.0,2143383,74,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:45.000000Z,1775061405.0,67.0,2185244,77,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:46.000000Z,1775061406.0,68.0,1958863,65,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:47.000000Z,1775061407.0,69.0,2329210,76,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:48.000000Z,1775061408.0,70.0,2073084,74,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:49.000000Z,1775061409.0,71.0,2085523,75,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:50.000000Z,1775061410.0,72.0,2023977,69,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:51.000000Z,1775061411.0,73.0,2077710,72,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:53.000000Z,1775061413.0,75.0,4035367,135,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:54.000000Z,1775061414.0,76.0,2092933,69,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:55.000000Z,1775061415.0,77.0,1964559,66,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:56.000000Z,1775061416.0,78.0,2155746,70,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:57.000000Z,1775061417.0,79.0,1584520,53,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:37:01.000000Z,1775061421.0,83.0,6300000,9,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:37:02.000000Z,1775061422.0,84.0,13262587,49,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:37:03.000000Z,1775061423.0,85.0,3235170,50,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:37:04.000000Z,1775061424.0,86.0,3138361,56,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:37:05.000000Z,1775061425.0,87.0,3135213,47,0
