scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,data_pdu_tx_bytes,data_pdu_retx_bytes,sdu_tx_latency_count,sdu_tx_latency_avg_ns,sdu_tx_latency_max_ns,cu_ue_index
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:24+02:00,1775118504.0,73.0,132369,0,183,13740.464480874318,74989,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:25+02:00,1775118505.0,74.0,161394,0,222,12182.288288288288,37670,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:26+02:00,1775118506.0,75.0,116320,0,160,12134.4625,35846,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:27+02:00,1775118507.0,76.0,264691,0,389,13780.629820051414,100015,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:28+02:00,1775118508.0,77.0,178897,0,247,13238.2995951417,60222,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:29+02:00,1775118509.0,78.0,87240,0,120,12674.133333333333,38852,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:30+02:00,1775118510.0,79.0,15994,0,22,19531.545454545456,34774,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:31+02:00,1775118511.0,80.0,11632,0,16,21052.5625,30215,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:32+02:00,1775118512.0,81.0,61068,0,84,17490.77380952381,56575,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:10+02:00,1775119990.0,1.0,331,0,7,12009.714285714286,21240,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:13+02:00,1775119993.0,4.0,608,0,10,13782.2,19717,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:14+02:00,1775119994.0,5.0,444252,0,624,8991.578525641025,39034,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:15+02:00,1775119995.0,6.0,653157,0,903,9004.516057585824,56547,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:16+02:00,1775119996.0,7.0,652933,0,899,9284.428253615128,48682,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:17+02:00,1775119997.0,8.0,653045,0,901,9465.441731409544,46207,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:18+02:00,1775119998.0,9.0,654387,0,901,10101.35627081021,113484,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:19+02:00,1775119999.0,10.0,652933,0,899,10255.945494994437,92625,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:20+02:00,1775120000.0,11.0,654387,0,901,9672.561598224196,72808,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:21+02:00,1775120001.0,12.0,650025,0,895,9736.159776536313,36909,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:22+02:00,1775120002.0,13.0,652846,0,898,10634.840757238308,53271,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:23+02:00,1775120003.0,14.0,532769,0,743,9993.06998654105,62148,0
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:34+02:00,1775120014.0,25.0,1399,0,1,23304.0,23304,0
