scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,avg_mcs,cell_id,cons_retx_max,duUeIndex,max_nof_harq_retxs,mcs_count,mcs_max,mcs_min,stream_id
B1,baseline_indoor_los,baseline,2026-04-01T16:05:59.000000Z,1775059559.0,23.0,27.64,0,0,0,4,11448,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:59.000000Z,1775059559.0,23.0,27.95,0,0,0,4,4435,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:00.000000Z,1775059560.0,24.0,27.64,0,0,0,4,11999,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:00.000000Z,1775059560.0,24.0,27.95,0,0,0,4,4645,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:01.000000Z,1775059561.0,25.0,27.64,0,0,0,4,12547,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:01.000000Z,1775059561.0,25.0,27.96,0,0,0,4,4847,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:02.000000Z,1775059562.0,26.0,27.65,0,0,0,4,13102,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:02.000000Z,1775059562.0,26.0,27.96,0,0,0,4,5045,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:04.000000Z,1775059564.0,28.0,27.65,0,0,0,4,14216,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:04.000000Z,1775059564.0,28.0,27.96,0,0,0,4,5455,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:05.000000Z,1775059565.0,29.0,27.65,0,0,0,4,14773,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:05.000000Z,1775059565.0,29.0,27.96,0,0,0,4,5661,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:06.000000Z,1775059566.0,30.0,27.65,0,0,0,4,15332,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:06.000000Z,1775059566.0,30.0,27.96,0,0,0,4,5874,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:07.000000Z,1775059567.0,31.0,27.66,0,0,0,4,15878,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:07.000000Z,1775059567.0,31.0,27.96,0,0,0,4,6071,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:08.000000Z,1775059568.0,32.0,27.66,0,0,0,4,16435,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:08.000000Z,1775059568.0,32.0,27.97,0,0,0,4,6273,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:09.000000Z,1775059569.0,33.0,27.66,0,0,0,4,16988,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:09.000000Z,1775059569.0,33.0,27.97,0,0,0,4,6473,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:10.000000Z,1775059570.0,34.0,27.66,0,0,0,4,17535,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:10.000000Z,1775059570.0,34.0,27.97,0,0,0,4,6669,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:11.000000Z,1775059571.0,35.0,27.66,0,0,0,4,18094,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:11.000000Z,1775059571.0,35.0,27.97,0,0,0,4,6875,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:12.000000Z,1775059572.0,36.0,27.66,0,0,0,4,18640,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:12.000000Z,1775059572.0,36.0,27.97,0,0,0,4,7078,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:13.000000Z,1775059573.0,37.0,27.66,0,0,0,4,19166,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:13.000000Z,1775059573.0,37.0,27.97,0,0,0,4,7280,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:14.000000Z,1775059574.0,38.0,27.66,0,0,0,4,19711,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:14.000000Z,1775059574.0,38.0,27.97,0,0,0,4,7469,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:15.000000Z,1775059575.0,39.0,27.66,0,0,0,4,20271,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:15.000000Z,1775059575.0,39.0,27.97,0,0,0,4,7683,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:16.000000Z,1775059576.0,40.0,27.66,0,0,0,4,20818,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:16.000000Z,1775059576.0,40.0,27.97,0,0,0,4,7891,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:17.000000Z,1775059577.0,41.0,27.66,0,0,0,4,21369,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:17.000000Z,1775059577.0,41.0,27.97,0,0,0,4,8087,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:18.000000Z,1775059578.0,42.0,27.67,0,0,0,4,21919,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:18.000000Z,1775059578.0,42.0,27.97,0,0,0,4,8293,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:20.000000Z,1775059580.0,44.0,27.67,0,0,0,4,23018,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:20.000000Z,1775059580.0,44.0,27.98,0,0,0,4,8700,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:21.000000Z,1775059581.0,45.0,27.67,0,0,0,4,23565,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:21.000000Z,1775059581.0,45.0,27.98,0,0,0,4,8904,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:22.000000Z,1775059582.0,46.0,27.67,0,0,0,4,24114,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:22.000000Z,1775059582.0,46.0,27.98,0,0,0,4,9108,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:23.000000Z,1775059583.0,47.0,27.67,0,0,0,4,24664,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:23.000000Z,1775059583.0,47.0,27.98,0,0,0,4,9305,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:24.000000Z,1775059584.0,48.0,27.67,0,0,0,4,25215,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:24.000000Z,1775059584.0,48.0,27.98,0,0,0,4,9524,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:25.000000Z,1775059585.0,49.0,27.67,0,0,0,4,25755,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:25.000000Z,1775059585.0,49.0,27.98,0,0,0,4,9729,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:26.000000Z,1775059586.0,50.0,27.67,0,0,0,4,26308,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:26.000000Z,1775059586.0,50.0,27.98,0,0,0,4,9944,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:27.000000Z,1775059587.0,51.0,27.67,0,0,0,4,26866,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:27.000000Z,1775059587.0,51.0,27.98,0,0,0,4,10144,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:28.000000Z,1775059588.0,52.0,27.67,0,0,0,4,27411,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:28.000000Z,1775059588.0,52.0,27.98,0,0,0,4,10361,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:29.000000Z,1775059589.0,53.0,27.67,0,0,0,4,27956,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:29.000000Z,1775059589.0,53.0,27.98,0,0,0,4,10560,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:30.000000Z,1775059590.0,54.0,27.67,0,0,0,4,28501,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:30.000000Z,1775059590.0,54.0,27.98,0,0,0,4,10789,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:31.000000Z,1775059591.0,55.0,27.67,0,0,0,4,29056,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:31.000000Z,1775059591.0,55.0,27.98,0,0,0,4,10986,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:32.000000Z,1775059592.0,56.0,27.67,0,0,0,4,29606,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:32.000000Z,1775059592.0,56.0,27.98,0,0,0,4,11180,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:33.000000Z,1775059593.0,57.0,27.67,0,0,0,4,30158,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:33.000000Z,1775059593.0,57.0,27.98,0,0,0,4,11393,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:34.000000Z,1775059594.0,58.0,27.67,0,0,0,4,30716,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:34.000000Z,1775059594.0,58.0,27.98,0,0,0,4,11590,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:36.000000Z,1775059596.0,60.0,27.68,0,0,0,4,31824,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:36.000000Z,1775059596.0,60.0,27.98,0,0,0,4,12011,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:37.000000Z,1775059597.0,61.0,27.68,0,0,0,4,32377,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:37.000000Z,1775059597.0,61.0,27.98,0,0,0,4,12206,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:38.000000Z,1775059598.0,62.0,27.68,0,0,0,4,32921,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:38.000000Z,1775059598.0,62.0,27.98,0,0,0,4,12396,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:39.000000Z,1775059599.0,63.0,27.68,0,0,0,4,33466,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:39.000000Z,1775059599.0,63.0,27.98,0,0,0,4,12600,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:40.000000Z,1775059600.0,64.0,27.68,0,0,0,4,33997,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:40.000000Z,1775059600.0,64.0,27.98,0,0,0,4,12800,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:41.000000Z,1775059601.0,65.0,27.68,0,0,0,4,34543,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:06:41.000000Z,1775059601.0,65.0,27.98,0,0,0,4,12996,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:06:42.000000Z,1775059602.0,66.0,27.68,0,0,0,4,35109,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
